country,year,CE,average_gvc,average_gvcs,average_gvcc,average_f,average_b
FRA,2000,321790.24202782434,0.3492023591474375,0.19294296534535893,0.15625939380207865,0.1794759331798787,0.16972642596755888
FRA,2001,320207.25909129967,0.3441029923993106,0.1909366478727957,0.1531663445265148,0.17881503535643498,0.16528795704287566
FRA,2002,313081.20985736244,0.3398257414181279,0.18888798148187613,0.1509377599362516,0.1789403425983047,0.16088539881982317
FRA,2003,313408.56620485417,0.33881702962309046,0.18815692679033097,0.15066010283275952,0.17970448402025643,0.15911254560283405
FRA,2004,305305.4707079619,0.34782274891479525,0.18925276507937272,0.15856998383542265,0.18000776881800684,0.1678149800967884
FRA,2005,304610.7560174367,0.3615398756111019,0.19335196971642674,0.16818790589467514,0.18333490408686742,0.17820497152423448
FRA,2006,294469.5346790317,0.375759687432366,0.19525140463184854,0.18050828280051737,0.19033282814860597,0.18542685928376001
FRA,2007,296006.34431323636,0.3799797434782725,0.19618521754355225,0.1837945259347202,0.19213502430505425,0.1878447191732183
FRA,2008,282832.365,0.39241359435021517,0.20196100805960265,0.19045258629061243,0.19788951541159816,0.194524078938617
FRA,2009,260044.277,0.37593197266605854,0.20205887560077024,0.17387309706528828,0.19097308553049988,0.1849588871355587
FRA,2010,268037.048,0.4029064978069696,0.2056378120298721,0.19726868577709727,0.19976859960430965,0.20313789820265998
FRA,2011,255057.719,0.42426282218163197,0.21474455734270795,0.20951826483892397,0.20779564818644453,0.2164671739951875
FRA,2012,250138.938,0.4315611901437752,0.21356729992794568,0.2179938902158295,0.21142686217898543,0.22013432796478982
FRA,2013,250356.797,0.43208448337312827,0.21295453340188944,0.2191299499712389,0.21511352033188025,0.21697096304124805
FRA,2014,230475.28,0.4349947545043133,0.21940171237579978,0.21559304212851355,0.21819187227416328,0.21680288223015004
GBR,2000,466821.27800000005,0.3308348944656024,0.1943722250883612,0.1364626693772413,0.18963775812816433,0.14119713633743805
GBR,2001,476008.012,0.3401341836305321,0.19923720232199155,0.14089698130854056,0.19685477434201745,0.14327940928851468
GBR,2002,461870.431,0.33679013466660895,0.1969466715972878,0.139843463069321,0.19248866416197383,0.1443014705046351
GBR,2003,475494.822,0.3439018256900715,0.20090588923454228,0.14299593645552927,0.19921850688111106,0.1446833188089604
GBR,2004,478763.109,0.34834582304570727,0.19832274048107104,0.1500230825646362,0.20010230666784842,0.14824351637785885
GBR,2005,478763.109,0.3608618885031547,0.20326302995941944,0.15759885854373532,0.2054960893670355,0.15536579913611923
GBR,2006,474841.38999999996,0.37111985434323536,0.2077544652317147,0.16336538911152046,0.20868729855024293,0.1624325557929924
GBR,2007,470260.725,0.37368826746458966,0.20785899364001673,0.16582927382457296,0.20918169959819835,0.16450656786639137
GBR,2008,455540.582,0.3983451923413973,0.2123395462342313,0.186005646107166,0.22236982986086504,0.17597536248053228
GBR,2009,405130.48000000004,0.40171519925139426,0.2130082140596691,0.1887069851917252,0.2189202734232622,0.18279492582813203
GBR,2010,415500.51,0.4249866277185099,0.22994381642869247,0.19504281128981743,0.22676987179016686,0.19821675592834306
GBR,2011,394452.24799999996,0.44967963251503135,0.23800470134493806,0.21167493117009337,0.23741705054183762,0.21226258197319378
GBR,2012,401158.545,0.4426857684162631,0.23477401486049684,0.20791175355576622,0.23188782100367827,0.2107979474125848
GBR,2013,387589.136,0.424063441714892,0.23876203801776713,0.18530140369712475,0.22926608036954985,0.19479736134534217
GBR,2014,363757.778,0.4067550701352116,0.22345178974193092,0.18330328039328067,0.22136854083102198,0.18538652930418967
GRC,2000,117350.30509993891,0.2319287629076219,0.18652883783687746,0.04539992507074448,0.08777063038300705,0.14415813252461487
GRC,2001,118757.12613808693,0.22923695503312735,0.1556160806648302,0.07362087436829713,0.08783789423450518,0.1413990607986222
GRC,2002,117499.29618677268,0.2136645867362286,0.14739202627360817,0.06627256046262038,0.08166437423809647,0.13200021249813215
GRC,2003,119004.48487009219,0.21718849555998557,0.14620225420883956,0.07098624135114592,0.09024071448837662,0.12694778107160895
GRC,2004,118566.16114523099,0.23458564112067584,0.16978948882121858,0.06479615229945726,0.1021203081355862,0.13246533298508964
GRC,2005,120136.05693966654,0.2335243759481615,0.15042904021567538,0.083095335732486,0.10182880416177555,0.13169557178638597
GRC,2006,118329.43750574642,0.250204530164741,0.15844352500028994,0.09176100516445103,0.10575576084580726,0.14444876931893375
GRC,2007,123005.41036369455,0.2724715616775222,0.16881447445619346,0.10365708722132877,0.11489634554193726,0.15757521613558492
GRC,2008,89200.862,0.27896464551104466,0.1779227633317374,0.10104188217930728,0.12246669068123761,0.15649795482980705
GRC,2009,82101.957,0.24412281688351264,0.16191757427422543,0.0822052426092872,0.10702354060945547,0.13709927627405716
GRC,2010,77284.846,0.2708357227609496,0.17263918381677087,0.09819653894417872,0.12090377056661815,0.14993195219433145
