country,classification,year,CE,f,b,gvcs,gvcc
SVN,Mining,2002,51.913702384353606,0.456214659470849,0.208228041768891,0.429471951878266,0.2349707493614731
SVN,Mining,2003,54.49252505670398,0.442332969043989,0.202161338359756,0.417235732603946,0.2272585747997992
SVN,Mining,2004,56.54254615133024,0.471579640101749,0.206960251894646,0.429103281598277,0.2494366103981177
SVN,Mining,2005,63.595645865371374,0.555333174662304,0.214066873656306,0.471717535769136,0.2976825125494742
SVN,Mining,2006,89.41350605113745,0.571579785975377,0.243109282213144,0.492570520034483,0.3221185481540368
SVN,Mining,2007,85.43977028282971,0.531482768592617,0.253156780817368,0.479728791586392,0.3049107578235939
SVN,Mining,2008,116.271,0.514577275947781,0.261529819728039,0.473434990340393,0.3026721053354265
SVN,Mining,2009,107.848,0.497990799101857,0.239590500113651,0.470590281736308,0.2669910174791996
SVN,Mining,2010,115.113,0.551791497938454,0.264889072224062,0.492012614701646,0.3246679554608707
SVN,Mining,2011,102.066,0.593490093065639,0.261985554515286,0.49838361588568,0.3570920316952444
SVN,Mining,2012,97.326,0.645257538417728,0.258763667729009,0.518224016283005,0.385797189863732
SVN,Mining,2013,94.448,0.801126843396705,0.281689232017704,0.6053061785791389,0.4775098968352706
SVN,Mining,2014,80.056,0.881829753156762,0.281920806213076,0.6265331551943789,0.5372174041754592
SVN,Other,2000,0.0,0.18266863523909685,0.24466613169817922,0.22562130126295035,0.20171346567432513
SVN,Other,2001,0.0,0.1925253110482927,0.2423163605498972,0.22691677156277423,0.2079249000354159
SVN,Other,2002,0.0,0.20263729879951073,0.2362273413416486,0.2235535974934927,0.2153110426476669
SVN,Other,2003,0.0,0.2153973092563886,0.2377527116287602,0.23191921972826596,0.22123080115688293
SVN,Other,2004,0.0,0.2363235905848252,0.2552364230094572,0.2410617135810324,0.2504983000132503
SVN,Other,2005,0.0,0.2512733773386768,0.2689846816896302,0.23880009122134505,0.2814579678069618
SVN,Other,2006,0.0,0.2692354732473894,0.2783797388128716,0.2434796225772728,0.3041355894829888
SVN,Other,2007,0.0,0.285963100317809,0.2911782559308742,0.2528557151739622,0.3242856410747214
SVN,Other,2008,0.0,0.2874927564292714,0.291610218158329,0.2538771314658821,0.3252258431217184
SVN,Other,2009,0.0,0.2609002036711388,0.26323765912218045,0.2365584478341643,0.2875794149591549
SVN,Other,2010,0.0,0.28534021217469363,0.2848747137654546,0.24825048066071392,0.32196444527943396
SVN,Other,2011,0.0,0.3060913158895866,0.29478349026839623,0.25403295853388197,0.3468418476241009
SVN,Other,2012,0.0,0.3179883400214266,0.2931757045520524,0.25502640845751745,0.3561376361159619
SVN,Other,2013,0.0,0.3300434012698204,0.28738087854573224,0.2576714350221798,0.3597528447933726
SVN,Other,2014,0.0,0.3323348577693112,0.2878366567427106,0.25637576364809994,0.36379575086392163
SVN,Service,2000,8573.894971231675,0.10993866049815157,0.15140407765392622,0.16997288960333332,0.09136984854874432
SVN,Service,2001,9524.52734656147,0.11354348145515279,0.14696665255008037,0.16984663477749673,0.09066349922773645
SVN,Service,2002,9950.781953743412,0.12621333230192372,0.14185326664778375,0.1744770533933808,0.09358954555632668
SVN,Service,2003,9547.927321701813,0.13667139525673933,0.14061123949206378,0.17830050787559237,0.09898212687321074
SVN,Service,2004,9604.386213455507,0.15552546480049012,0.15056535723307363,0.19176767307133435,0.11432314896222939
SVN,Service,2005,9531.268407607873,0.1676303516061002,0.16034354271450083,0.20173383120105962,0.1262400631195414
SVN,Service,2006,9868.983581671331,0.18229301358134833,0.1677972008972288,0.208398456954416,0.14169175752416102
SVN,Service,2007,10074.218933360587,0.2046173416269368,0.17083631736447272,0.22414458413615207,0.15130907485525755
SVN,Service,2008,11847.14786987996,0.20991236470281077,0.17584844024853946,0.22834911540545533,0.157411689545895
SVN,Service,2009,10992.189410025485,0.18674163517872464,0.16194320818825353,0.21600009979721627,0.13268474356976176
SVN,Service,2010,10917.680866948373,0.2026708385836365,0.17916537264066612,0.2256068414208295,0.15622936980347307
SVN,Service,2011,11326.721525535973,0.2191996679032164,0.19278377302343758,0.2380682210742801,0.17391521985237368
SVN,Service,2012,10800.942048244538,0.22209205152276337,0.19433218651336862,0.2390929188240602,0.17733131921207199
SVN,Service,2013,10259.686025369965,0.2316151401724987,0.19300561851779674,0.24315604427883283,0.18146471441146256
SVN,Service,2014,8843.032771380935,0.24126700030676382,0.19256115453007797,0.24611892370317437,0.18770923113366741
SWE,Agriculture,2000,1213.3488088425902,0.29440555797517937,0.20865901464201206,0.22639587477502374,0.27666869784216747
SWE,Agriculture,2001,1212.187509661394,0.31307322863947534,0.20730846632629985,0.24566003228691446,0.2747216626788612
SWE,Agriculture,2002,1354.0255988842275,0.29053148952537033,0.20267341802360206,0.23370469160124405,0.2595002159477279
SWE,Agriculture,2003,1366.5092558410536,0.28749446078233065,0.19798836551612423,0.23179024859828745,0.25369257770016734
SWE,Agriculture,2004,1269.413715306844,0.2525019558415317,0.20263277011571482,0.2173205802978323,0.2378141456594144
SWE,Agriculture,2005,1136.7154252689015,0.305856622272872,0.23794217018794236,0.2624094990777838,0.28138929338303026
SWE,Agriculture,2006,1060.6634096956743,0.31891702261496635,0.23377663602043444,0.2683285363876187,0.28436512224778193
SWE,Agriculture,2007,941.03786458003,0.3281426466736486,0.226556372875694,0.2688298597072071,0.2858691598421358
SWE,Agriculture,2008,2639.029,0.4192971305499043,0.2430611840923814,0.3516012458449349,0.31075706879735077
SWE,Agriculture,2009,2475.427,0.4818016942646943,0.2319541409886167,0.39032434858986004,0.3234314866634513
SWE,Agriculture,2010,2626.0060000000003,0.3716940878312447,0.22235423898841145,0.29848372319704675,0.2955646036226089
SWE,Agriculture,2011,2639.302,0.36464493342582865,0.22824696911043466,0.2992912643167767,0.2936006382194869
SWE,Agriculture,2012,2566.277,0.469614318216234,0.22982645174937458,0.34937954189672943,0.35006122806887907
SWE,Agriculture,2013,2467.6949999999997,0.47515873487094434,0.22753486057970587,0.3474142435725624,0.35527935187808724
SWE,Agriculture,2014,2291.856,0.45705855913665566,0.22717756758341182,0.3476084790925326,0.33662764762753494
SWE,Manufacturing,2000,21436.795424164346,0.3934781459542664,0.3268642950428387,0.35445325700733776,0.3658891839897674
SWE,Manufacturing,2001,20482.943388988904,0.39937754270936965,0.3270696850466803,0.3549966463956561,0.37145058136039405
SWE,Manufacturing,2002,19616.960867819704,0.38996326647162505,0.32038759119208343,0.3467995560346015,0.3635513016291071
SWE,Manufacturing,2003,18661.342320466712,0.38456913813822724,0.318416683852755,0.34320038550928883,0.35978543648169353
SWE,Manufacturing,2004,20035.75620756252,0.398287613620594,0.32310908263802635,0.3429361827001637,0.3784605135584568
SWE,Manufacturing,2005,18689.058605862017,0.4032702780224852,0.3377370840384333,0.34547269356393906,0.3955346684969795
SWE,Manufacturing,2006,18297.620823005127,0.40583259893616747,0.34894994838892723,0.34453696234645,0.41024558497864466
SWE,Manufacturing,2007,17806.730119158936,0.4110233971665078,0.3519724574228174,0.3488259271733151,0.41416992741601016
SWE,Manufacturing,2008,16595.958,0.42593401421773863,0.3692618419760986,0.3531315163816965,0.44206433981214105
SWE,Manufacturing,2009,13105.72,0.4263097688252034,0.3461109795450807,0.34634225871742974,0.42607848965285433
SWE,Manufacturing,2010,15944.948,0.42906530582822083,0.348186888978449,0.3516759447002431,0.4255762501064267
SWE,Manufacturing,2011,15103.134,0.41961379320398046,0.35233807851364174,0.3470652773449623,0.42488659437266013
SWE,Manufacturing,2012,14476.057,0.4297633461240753,0.34930558306228443,0.3433589523176506,0.4357099768687093
SWE,Manufacturing,2013,13696.49,0.4305588377909574,0.3407913707356906,0.3428708576804682,0.42847935084617955
SWE,Manufacturing,2014,13519.096,0.4329877753347424,0.3429618298534249,0.34436895994571104,0.4315806452424564
SWE,Mining,2000,436.2558409581807,0.549362199288682,0.264328471654087,0.48520617083583,0.3284845001069391
SWE,Mining,2001,421.7757234526745,0.5259865310673,0.264088318235517,0.460206943817354,0.3298679054854639
SWE,Mining,2002,544.0063467316268,0.548756515946305,0.257757966971639,0.472289884754281,0.3342245981636628
SWE,Mining,2003,611.7544097033466,0.533647195604624,0.255399538765044,0.461271020079661,0.327775714290007
SWE,Mining,2004,558.114613762001,0.578708359800329,0.233367755726138,0.450931673045837,0.3611444424806283
SWE,Mining,2005,563.1768169197899,0.640487214504805,0.212921346346616,0.4554237363065679,0.3979848245448532
SWE,Mining,2006,569.7644096622711,0.666387688169738,0.183912808037381,0.421025492694034,0.429275003513085
SWE,Mining,2007,598.242415931094,0.642769479947676,0.191424890893315,0.4205904669239739,0.4136039039170165
SWE,Mining,2008,1428.609,0.683594419221616,0.19073901879852,0.439182996666315,0.4351504413538217
SWE,Mining,2009,1282.923,0.74323481456329,0.249841603799964,0.4192078655822268,0.573868552781028
SWE,Mining,2010,1502.986,0.712141590151235,0.177873901074163,0.4606473535942719,0.4293681376311266
SWE,Mining,2011,1552.07,0.730014607663978,0.209085933701735,0.496918454751236,0.4421820866144772
SWE,Mining,2012,1581.432,0.769225699420039,0.230302849970448,0.506798906621593,0.4927296427688939
SWE,Mining,2013,1408.78,0.752386028090972,0.252817905878922,0.539201339956887,0.4660025940130078
SWE,Mining,2014,1516.889,0.763445051276263,0.251564245713115,0.5425829592165721,0.4724263377728068
SWE,Other,2000,0.0,0.25302053976021244,0.2157963930892674,0.2384283958292067,0.23038853702027287
SWE,Other,2001,0.0,0.262257035260874,0.22086965875048897,0.24900776767934918,0.23411892633201323
SWE,Other,2002,0.0,0.2539229358635258,0.213015728888251,0.23973976297425964,0.22719890177751728
SWE,Other,2003,0.0,0.2518397694976938,0.20756816460938401,0.23531440831153624,0.22409352579554173
SWE,Other,2004,0.0,0.25993569522698434,0.208228117963901,0.23447016970220175,0.23369364348868316
SWE,Other,2005,0.0,0.2649759805799348,0.22058290060100658,0.23869651579863102,0.24686236538231046
SWE,Other,2006,0.0,0.27122371063149064,0.22918096922631204,0.24026335888587438,0.26014132097192827
SWE,Other,2007,0.0,0.2812171156021768,0.235493808167837,0.24692620977734725,0.2697847139926666
SWE,Other,2008,0.0,0.2892950660387358,0.2465760948040204,0.25332636708801015,0.2825447937547457
SWE,Other,2009,0.0,0.28381582354326185,0.22903007495401456,0.2530822972022361,0.2597636012950406
SWE,Other,2010,0.0,0.2847418245194342,0.22765316087677778,0.24547372576515752,0.2669212596310543
SWE,Other,2011,0.0,0.2809025856847802,0.2312832942196002,0.2421044654704167,0.2700814144339643
SWE,Other,2012,0.0,0.2826119037574966,0.229922322237814,0.24064404723635122,0.2718901787589595
SWE,Other,2013,0.0,0.2820954781343308,0.221487940749406,0.23996097271467262,0.26362244616906383
SWE,Other,2014,0.0,0.2821149824524678,0.2238250722146184,0.2414096644285177,0.2645303902385686
SWE,Service,2000,37063.14241162086,0.17889554333953292,0.13814344203746157,0.19236811508777665,0.12467087028921778
SWE,Service,2001,38664.79342791222,0.18774965727647808,0.1410362098103687,0.2012867501142332,0.12749911697261362
SWE,Service,2002,39455.79189938923,0.18012207183101048,0.13534978772087228,0.1930168088433848,0.1224550507084979
SWE,Service,2003,38917.981886786685,0.18125754949295983,0.12998709917633566,0.19009808021867414,0.12114656845062144
SWE,Service,2004,35407.5612246659,0.18843433024614972,0.1294200096140954,0.19193919359357328,0.1259151462666718
SWE,Service,2005,34216.97275278296,0.19219470927712332,0.1380183560053061,0.19534765271651797,0.13486541256591153
SWE,Service,2006,33223.745176976685,0.1990178114183876,0.1430027240838452,0.19965064468617408,0.1423698908160589
SWE,Service,2007,33077.46484053461,0.2068664696180573,0.1479290333082224,0.2044481814955849,0.1503473214306947
SWE,Service,2008,29282.185,0.2171243448088201,0.1566833250632046,0.21257479789348638,0.16123287197853833
SWE,Service,2009,28601.225,0.2118830792260491,0.1515823181118905,0.2108597433786748,0.1526056539592648
SWE,Service,2010,31053.592,0.21254573137175534,0.1463412266091522,0.20401885012512494,0.15486810785578267
SWE,Service,2011,28067.259000000002,0.21233109950340592,0.1467293484195259,0.2018214739707766,0.15723897395215522
SWE,Service,2012,26352.503,0.21056582312556626,0.14667367937863782,0.1992132733209876,0.1580262291832164
SWE,Service,2013,25422.407,0.21135589558359175,0.14366360912210485,0.19927884652690422,0.1557406581787922
SWE,Service,2014,24726.09,0.2110943590281218,0.14797160048675503,0.2026186950304655,0.15644726448441118
TUR,Agriculture,2000,9410.949,0.05035312044389426,0.0556666562794616,0.07468432217498297,0.031335454548372804
TUR,Agriculture,2001,8950.666,0.07443738659907007,0.0581915751832938,0.09184433290212167,0.04078462888024224
TUR,Agriculture,2002,9081.659,0.06388527568989406,0.057577347545691195,0.08363159591264441,0.0378310273229407
TUR,Agriculture,2003,9258.485,0.058455416788616064,0.057066449111046226,0.07943898977411402,0.0360828761255481
TUR,Agriculture,2004,9968.345,0.058256490457582834,0.0606362033254434,0.08030411019338234,0.03858858358964396
TUR,Agriculture,2005,10035.405999999999,0.0531741483344784,0.05912816594181703,0.07441817163373997,0.03788414264255547
TUR,Agriculture,2006,10714.523000000001,0.0578103283233134,0.06351958131443959,0.07959187475819543,0.0417380348795576
TUR,Agriculture,2007,11609.986,0.06272620538588992,0.0644465653642255,0.0860944199408093,0.04107835080930627
TUR,Agriculture,2008,14418.729,0.07236539133730864,0.06966395201918413,0.09575629185585627,0.0462730515006368
TUR,Agriculture,2009,14179.83,0.09058504236116786,0.06449834385727181,0.1086466983871404,0.046436687831299304
